Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-14,12:33:07,server up,1
2019-12-14,12:33:08,server up,1
2019-12-14,12:33:08,server up,1
2019-12-14,12:33:09,server up,1
2019-12-14,12:33:10,server up,1
2019-12-14,12:33:10,server up,1
2019-12-14,12:33:11,server up,1
2019-12-14,12:33:11,server down,0
2019-12-14,12:33:11,server down,0
2019-12-14,12:33:11,server down,0
2019-12-14,12:33:11,server down,0
2019-12-14,12:33:11,server down,0
2019-12-14,12:33:11,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:12,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
